Company | Open | High | Low | Close | Volume
HINDUSTAN UNILEVER LTD. | 2263.7 | 2284.8 | 2263.7 | 2280.0 | 1237214
QUADPRO ITES LIMITED | 2.25 | 2.45 | 2.25 | 2.45 | 24000
YATHARTH HOSP & TRA C S L | 676.9 | 682.0 | 667.55 | 675.7 | 192701
SHANKARA BLDG PRODUCT LTD | 105.1 | 110.0 | 105.1 | 109.41 | 50994
MANGALAM GLOBAL ENT LTD | 15.0 | 15.05 | 14.26 | 14.65 | 501106
SKM EGG PROD EXPORT(I) LT | 412.75 | 419.9 | 409.95 | 414.9 | 35782
KILITCH DRUGS INDIA LTD | 338.45 | 342.0 | 332.35 | 338.8 | 4107
JASH ENGINEERING LIMITED | 424.2 | 435.9 | 422.0 | 434.8 | 53891
DEVYANI INTERNATIONAL LTD | 126.39 | 131.63 | 126.12 | 130.86 | 1258340
MITCON CON & ENG SER LTD | 69.11 | 70.75 | 67.0 | 69.16 | 3722
PICTUREPOST STUDIOS LTD | 9.55 | 9.75 | 9.55 | 9.75 | 6000
THEJO ENGINEERING LIMITED | 1607.8 | 1620.3 | 1594.6 | 1609.0 | 24583
CYBER MEDIA (INDIA) LTD. | 15.98 | 16.0 | 15.9 | 16.0 | 1510
CANARA BANK | 150.1 | 150.98 | 147.27 | 148.58 | 26225514
HAPPIEST MINDS TECHNO LTD | 477.95 | 487.0 | 477.05 | 483.7 | 222667
UMA CONVERTER LIMITED | 20.0 | 21.0 | 20.0 | 20.35 | 24000
UCO BANK | 28.52 | 28.74 | 28.03 | 28.65 | 6755331
ANTHEM BIOSCIENCES LTD | 674.9 | 684.25 | 670.2 | 678.95 | 196015
UJAAS ENERGY LIMITED | 149.78 | 149.78 | 149.78 | 149.78 | 768
MANGALAM ORGANICS LIMITED | 482.1 | 485.75 | 471.45 | 476.1 | 2250
MULTI COMMODITY EXCHANGE | 10220.0 | 10365.0 | 10181.0 | 10307.0 | 471633
ORIENTAL AROMATICS LTD | 297.1 | 300.15 | 295.0 | 298.9 | 3289
SAGILITY LIMITED | 51.08 | 53.3 | 51.01 | 52.0 | 58691952
PAR DRUGS AND CHEM LTD | 104.99 | 114.0 | 103.2 | 110.81 | 119953
ANUPAM RASAYAN INDIA LTD | 1303.0 | 1342.1 | 1298.7 | 1333.4 | 360019
ANDHRA SUGARS LTD | 75.05 | 75.31 | 73.81 | 74.6 | 172961
KAYTEX FABRICS LIMITED | 73.2 | 76.3 | 73.2 | 74.0 | 40800
SEMAC CONSTRUCTION LTD | 310.9 | 317.9 | 300.0 | 302.45 | 236
DIGITIDE SOLUTIONS LTD | 135.24 | 137.5 | 132.49 | 134.05 | 303206
MODI RUBBER LTD | 101.2 | 107.97 | 101.2 | 104.51 | 1870
HINDUSTAN COPPER LTD | 387.0 | 390.85 | 380.55 | 387.55 | 10530081
TCL MARKET LINK 2026 SRA | NA | NA | NA | NA | NA
TANLA PLATFORMS LIMITED | 564.25 | 564.4 | 532.0 | 535.75 | 825484
SHRIRAM FINANCE LIMITED | 869.0 | 913.5 | 850.5 | 901.7 | 35297309
DREDGING CORP OF INDIA | 946.7 | 949.15 | 930.0 | 940.3 | 154286
BANK OF BARODA | 289.9 | 292.65 | 288.35 | 292.05 | 7073187
MARCO CABLE & CONDUCTOR L | 39.9 | 40.95 | 39.2 | 40.05 | 6000
GOPAL SNACKS LIMITED | 310.0 | 312.95 | 309.05 | 311.05 | 43715
BHARAT ROAD NETWORK LTD | 22.38 | 23.6 | 22.18 | 22.63 | 121467
VAISHALI PHARMA LIMITED | 9.0 | 9.34 | 8.99 | 9.21 | 371128
LODHA DEVELOPERS LIMITED | 1078.6 | 1093.7 | 1071.4 | 1090.2 | 545392
IFCI LTD | 47.0 | 48.15 | 46.91 | 47.92 | 2199698
LAXMI ORGANIC INDUS LTD | 170.0 | 172.01 | 169.1 | 171.49 | 186208
S CHAND AND COMPANY LTD | 163.7 | 163.7 | 156.6 | 157.17 | 52528
GATEWAY DISTRIPARKS LTD | 59.01 | 59.8 | 58.81 | 59.58 | 357335
JAGSONPAL PHARMACEUTICALS | 201.49 | 203.65 | 196.2 | 200.62 | 52692
ASTER DM HEALTHCARE LTD. | 593.0 | 607.35 | 591.0 | 598.2 | 892132
PRECISION WIRES INDIA LTD | 225.9 | 233.55 | 225.9 | 232.3 | 231970
INSPIRE FILMS LIMITED | 10.55 | 11.5 | 10.55 | 11.5 | 14000
SAI LIFE SCIENCES LIMITED | 878.1 | 924.0 | 874.8 | 917.6 | 625259
WISE TRAVEL INDIA LIMITED | 137.65 | 137.65 | 135.0 | 135.9 | 2500
MUKTA ARTS LIMITED | 61.74 | 61.74 | 57.25 | 58.48 | 10397
REPRO INDIA LIMITED | 466.8 | 470.65 | 464.2 | 468.95 | 12500
SHUBHLAXMI JEWEL ART LTD | 37.5 | 37.8 | 36.0 | 37.5 | 36000
SP REFRACTORIES LIMITED | 149.65 | 160.0 | 149.65 | 160.0 | 2400
ARCHEAN CHEMICAL IND LTD | 503.95 | 519.0 | 496.75 | 511.25 | 200496
SAAKSHI MEDTEC N PANELS L | 174.75 | 179.6 | 174.75 | 178.3 | 12600
HERO MOTOCORP LIMITED | 5725.0 | 5797.5 | 5725.0 | 5781.0 | 769295
K2 INFRAGEN LIMITED | 60.05 | 61.7 | 59.2 | 59.2 | 4800
READYMIX CONSTRU MACHI L | 122.7 | 123.0 | 120.0 | 121.55 | 6000
MANAKSIA STEELS LTD | 59.85 | 66.15 | 59.85 | 66.09 | 120652
GLOTTIS LIMITED | 59.0 | 60.48 | 58.51 | 59.98 | 203886
LIKHITHA INFRASTRUC LTD | 181.0 | 184.89 | 178.85 | 182.97 | 93420
METROPOLIS HEALTHCARE LTD | 1894.5 | 1894.5 | 1863.7 | 1885.8 | 35091
ALUWIND INFRA-TECH LTD | 72.0 | 72.0 | 72.0 | 72.0 | 10500
MAHENDRA REALTO & INFRA L | 55.0 | 55.85 | 54.1 | 54.1 | 9600
UNO MINDA LIMITED | 1226.6 | 1271.5 | 1222.3 | 1267.8 | 387162
LLOYDS ENTERPRISES LTD | 67.15 | 71.33 | 67.15 | 70.86 | 6649105
BRIGHTCOM GROUP LIMITED | 10.55 | 11.35 | 10.52 | 10.89 | 11767076
VARDHMAN SPC STEEL LTD | 290.1 | 297.95 | 290.1 | 296.45 | 31439
HEIDELBERGCEMENT (I) LTD | 171.0 | 172.64 | 170.0 | 171.71 | 48027
WHEELS INDIA LTD | 836.5 | 854.0 | 832.5 | 851.8 | 13963
SUNFLAG IRON AND STEEL CO | 260.0 | 262.0 | 256.45 | 261.1 | 103210
SHANKAR LAL RAMPAL LTD | 64.35 | 68.49 | 64.35 | 68.01 | 79082
ASHAPURA MINECHEM LTD | 776.95 | 793.4 | 766.2 | 790.9 | 877151
DELPHI WORLD MONEY LTD | 249.85 | 255.0 | 243.02 | 253.05 | 117409
TATA CAPITAL LIMITED | 324.0 | 325.1 | 322.15 | 324.0 | 836210
BLB LIMITED | 14.81 | 15.24 | 14.55 | 15.03 | 243077
HUBTOWN LIMITED | 236.8 | 240.85 | 234.2 | 238.65 | 418564
THE P K TEA PROD CO LTD | 899.9 | 915.0 | 841.0 | 848.05 | 1118
NAMAN IN-STORE (INDIA) L | 66.05 | 67.05 | 66.05 | 67.05 | 1600
ELECTRO FORCE (INDIA) LTD | 33.15 | 34.3 | 32.6 | 33.35 | 22800
R R KABEL LIMITED | 1446.0 | 1510.0 | 1429.2 | 1487.0 | 755803
SBI LIFE INSURANCE CO LTD | 2014.5 | 2035.5 | 2012.4 | 2028.4 | 751874
ACCRETION PHARMA LIMITED | 89.45 | 92.05 | 89.45 | 92.05 | 26400
ONE MOBIKWIK SYSTEMS LTD | 235.0 | 237.43 | 233.6 | 236.44 | 584308
MAHA RASHTRA APEX COPR. L | 110.45 | 110.45 | 105.25 | 106.38 | 14485
VICEROY HOTELS LIMITED | 138.4 | 138.5 | 131.0 | 132.96 | 14551
KHFM HOS FAC MANA SER LTD | 62.6 | 65.35 | 61.5 | 61.5 | 23250
ELECTRONICS MART IND LTD | 105.5 | 106.62 | 102.8 | 104.27 | 1128635
BIRLA CABLE LIMITED | 133.03 | 138.5 | 132.5 | 136.5 | 43380
TATA CONSUMER PRODUCT LTD | 1171.5 | 1186.3 | 1169.6 | 1184.0 | 598033
IRIS BUSINESS SERV LTD | 295.0 | 306.3 | 295.0 | 300.1 | 9826
JAKHARIA FABRIC LIMITED | 60.5 | 60.5 | 60.5 | 60.5 | 2400
THANGAMAYIL JEWELLERY LTD | 3282.5 | 3364.0 | 3265.2 | 3339.5 | 67452
SYNGENE INTERNATIONAL LTD | 658.0 | 665.3 | 643.95 | 654.15 | 664090
AVANTEL LIMITED | 149.9 | 155.7 | 146.55 | 153.58 | 1964328
FALCON TECHNOPROJ IND LTD | 15.25 | 16.5 | 15.25 | 15.35 | 4800
QUICK HEAL TECH LTD | 266.3 | 275.0 | 266.0 | 272.25 | 78343
ARTEMIS MED SERVICE LTD | 278.7 | 282.6 | 273.9 | 276.25 | 120888
VARDHAMAN ACRYLICS LTD | 37.34 | 37.95 | 37.02 | 37.54 | 12392
UNITED DRILLING TOOLS LTD | 206.0 | 207.49 | 203.07 | 205.15 | 7236
BAJAJ HOLDINGS & INVS LTD | 11020.0 | 11270.0 | 10962.0 | 11148.0 | 72371
SHALBY LIMITED | 191.02 | 200.4 | 190.83 | 199.48 | 226796
KAUSHALYA INFRA DEV LTD. | 893.3 | 913.95 | 885.0 | 888.85 | 165
ECOLINE EXIM LIMITED | 132.9 | 133.0 | 130.0 | 130.0 | 9000
VIPUL LIMITED | 10.39 | 10.49 | 10.2 | 10.33 | 236341
UNITED HEAT TRANSFER LTD | 55.05 | 59.15 | 55.0 | 59.15 | 18000
PRANIK LOGISTICS LIMITED | 55.2 | 55.3 | 55.2 | 55.2 | 9600
BLUE WATER LOGISTICS LTD | 158.9 | 159.0 | 154.0 | 154.0 | 6000
QUEST LABORATORIES LTD | 94.5 | 112.0 | 94.5 | 108.75 | 195600
INDO RAMA SYNTHETICS LTD | 47.95 | 48.65 | 46.9 | 48.26 | 111915
BARODABNP - BBNPPGOLD | 128.45 | 128.65 | 128.0 | 128.6 | 22392
ATLANTAA LIMITED | 42.95 | 44.79 | 41.31 | 42.85 | 43371
GRAPHITE INDIA LTD | 529.9 | 550.95 | 527.8 | 549.15 | 630759
PAUSHAK LIMITED | 598.05 | 610.65 | 589.65 | 596.45 | 7771
KALANA ISPAT LIMITED | 25.0 | 25.0 | 24.9 | 24.9 | 12000
WENDT (INDIA) LIMITED | 8022.0 | 8150.0 | 8008.0 | 8122.0 | 3607
ICDS LTD | 43.61 | 44.98 | 42.5 | 42.55 | 1147
SILLY MONKS ENTERTAIN LTD | 23.5 | 23.5 | 21.85 | 22.61 | 11927
VESUVIUS INDIA LTD | 462.6 | 471.0 | 459.0 | 465.75 | 37447
TAMILNAD MERCA BANK LTD | 510.0 | 512.55 | 502.0 | 508.75 | 92966
AVANTI FEEDS LIMITED | 860.0 | 864.6 | 849.65 | 854.35 | 420170
GFL LIMITED | 58.06 | 59.0 | 57.51 | 58.77 | 24822
SHREEOSWAL S AND CHE LTD | 16.17 | 16.17 | 15.51 | 15.94 | 257842
SIGNORIA CREATION LIMITED | 88.4 | 94.3 | 88.4 | 94.3 | 3000
TEAM INDIA GUARANTY LTD | 270.05 | 274.35 | 263.0 | 267.7 | 4138
BASF INDIA LTD | 3837.0 | 3906.0 | 3815.2 | 3897.8 | 14985
GOCL CORPORATION LIMITED | 290.8 | 295.8 | 288.9 | 293.45 | 38089
SHRADHA INFRAPROJECTS LTD | 41.62 | 41.62 | 39.36 | 39.54 | 16314
ADITYA BIRLA CAPITAL LTD. | 345.45 | 349.7 | 343.45 | 348.7 | 4825518
KHAITAN CHEM & FERT LTD | 76.95 | 78.7 | 75.8 | 77.93 | 144086
HINDUSTAN PETROLEUM CORP | 466.0 | 470.4 | 462.55 | 469.75 | 3305705
HINDUSTAN COMPOSITES LTD. | 420.25 | 424.95 | 415.0 | 418.9 | 1555
NRB INDUS. BEARINGS LTD. | 27.3 | 29.2 | 27.3 | 28.52 | 6112
NARAYANA HRUDAYALAYA LTD. | 1846.1 | 1946.0 | 1839.7 | 1898.6 | 646192
K M SUGAR MILLS LTD | 26.56 | 26.89 | 26.35 | 26.65 | 40476
VINATI ORGANICS LTD | 1565.0 | 1574.0 | 1553.0 | 1560.7 | 25905
SUN PHARMA ADV.RES.CO.LTD | 131.79 | 147.75 | 130.78 | 143.82 | 5394459
ASTRAZENECA PHARMA IND LT | 9077.0 | 9168.0 | 9021.0 | 9091.5 | 5946
NOIDA TOLL BRIDGE CO LTD | 4.2 | 4.38 | 4.1 | 4.28 | 114066
CARE RATINGS LIMITED | 1542.7 | 1555.0 | 1534.5 | 1552.2 | 27141
GK ENERGY LIMITED | 152.9 | 155.59 | 148.49 | 152.23 | 616122
ORISSA MIN DEV CO LTD | 4656.0 | 4751.0 | 4650.1 | 4669.1 | 5065
ACCORD SYNERGY LIMITED | 27.5 | 27.65 | 27.5 | 27.65 | 8000
PILANI INV & IND COR LTD | 5234.0 | 5234.0 | 5103.0 | 5158.5 | 964
KANORIA CHEMICALS & INDUS | 77.49 | 79.0 | 77.15 | 78.22 | 17831
GANESH GREEN BHARAT LTD | 331.0 | 331.0 | 311.5 | 321.35 | 25200
LUX INDUSTRIES LIMITED | 1110.6 | 1132.0 | 1100.0 | 1118.7 | 13215
SURYA ROSHNI LTD | 267.0 | 268.55 | 264.0 | 267.1 | 181464
AGS TRANSACT TECH LTD | 4.12 | 4.24 | 4.07 | 4.17 | 93712
YES BANK LIMITED | 21.45 | 21.76 | 21.45 | 21.7 | 86903781
ITI LTD | 312.95 | 331.75 | 308.2 | 313.8 | 32273744
SUPRIYA LIFESCIENCE LTD | 730.5 | 745.5 | 730.5 | 737.85 | 71734
FIDEL SOFTECH LIMITED | 141.5 | 145.9 | 141.5 | 145.9 | 12000
SONU INFRATECH LIMITED | 81.5 | 83.5 | 81.0 | 81.05 | 16500
NUVAMA WEALTH MANAGE LTD | 7330.0 | 7350.0 | 7050.0 | 7169.0 | 228356
KEYNOTE FIN SERV LTD. | 322.95 | 325.0 | 315.0 | 318.45 | 3917
ONYX BIOTEC LIMITED | 32.5 | 32.5 | 30.8 | 30.8 | 6000
NIIT LEARNING SYSTEMS LTD | 399.6 | 429.85 | 399.6 | 420.9 | 287139
KALYANI INVEST CO LTD | 4876.0 | 4943.0 | 4860.0 | 4898.0 | 4873
SUNDARAM CLAYTON LIMITED | 1228.1 | 1243.7 | 1228.1 | 1238.7 | 3076
INDIFRA LIMITED | 15.2 | 15.95 | 15.15 | 15.95 | 6000
AKSH OPTIFIBRE LIMITED | 6.53 | 6.66 | 6.48 | 6.62 | 81632
SHIVA TEXYARN LIMITED | 179.58 | 180.0 | 174.13 | 177.09 | 2155
KUANTUM PAPERS LIMITED | 91.05 | 93.91 | 91.0 | 93.39 | 34170
ARCHIDPLY DECOR LIMITED | 78.8 | 80.0 | 76.01 | 76.01 | 581
SABAR FLEX INDIA LIMITED | 4.95 | 4.95 | 4.95 | 4.95 | 5000
ISGEC HEAVY ENG LTD | 804.2 | 823.65 | 797.6 | 814.65 | 32429
RUCHIRA PAPERS LIMITED | 119.99 | 119.99 | 118.4 | 119.02 | 16234
OBEROI REALTY LIMITED | 1650.6 | 1679.0 | 1646.4 | 1675.3 | 430811
MOVING MEDIA ENTER LTD | 49.5 | 49.5 | 49.5 | 49.5 | 2000
TIMESCAN LOGISTICS IND L | 53.7 | 53.7 | 53.7 | 53.7 | 2000
SUVIDHAA INFOSERVE LTD | 3.66 | 3.76 | 3.61 | 3.71 | 60772
INOX INDIA LIMITED | 1119.9 | 1139.0 | 1117.3 | 1132.9 | 30694
HISAR METAL IND. LIMITED | 161.5 | 161.5 | 155.66 | 156.53 | 4492
RANE (MADRAS) LIMITED | 729.95 | 741.0 | 729.95 | 736.2 | 4913
MCON RASAYAN INDIA LTD | 72.4 | 72.6 | 69.25 | 72.6 | 22000
PARTY CRUISERS LIMITED | 89.8 | 92.0 | 87.0 | 87.0 | 4000
URAVI DEFENCE &TECH LTD | 175.55 | 179.83 | 175.55 | 179.83 | 3003
ICICI PRU LIFE INS CO LTD | 649.9 | 653.0 | 647.65 | 650.4 | 820206
CYIENT DLM LIMITED | 422.75 | 425.0 | 419.3 | 421.25 | 54392
ALEMBIC PHARMA LTD | 854.7 | 865.4 | 837.9 | 859.9 | 65161
HINDUJA GLOBAL SOLS. LTD. | 437.5 | 443.15 | 435.0 | 441.15 | 11529
MANGAL CREDIT N FINCORP L | 171.3 | 171.3 | 166.25 | 167.05 | 25279
MAHARASHTRA SEAMLESS LTD | 561.0 | 565.15 | 552.85 | 554.85 | 109504
INFOLLION RESEARCH SER L | 376.75 | 389.0 | 370.3 | 389.0 | 5200
TRIB BHIMJI ZAVERI LTD | 160.46 | 163.04 | 159.66 | 160.83 | 69127
KOTYARK INDUSTRIES LTD | 248.8 | 259.0 | 248.8 | 257.4 | 6000
INDIA NIPPON ELECT  LTD | 788.4 | 807.25 | 780.0 | 803.5 | 27552
APOLLO PIPES LIMITED | 285.9 | 311.0 | 284.95 | 306.9 | 291140
SECMARK CONSULTANCY LTD | 123.49 | 123.49 | 115.12 | 119.29 | 177
VISHNU CHEMICALS LIMITED | 514.0 | 522.2 | 508.5 | 520.45 | 71493
TECHERA ENGINEER (IND) L | 213.55 | 217.95 | 213.55 | 215.85 | 8800
AVI ANSH TEXTILE LIMITED | 116.0 | 116.5 | 114.05 | 115.5 | 8000
MOSCHIP TECHNOLOGIES LTD | 195.6 | 205.0 | 195.5 | 201.94 | 1593497
SONA BLW PRECISION FRGS L | 486.2 | 500.0 | 482.45 | 496.8 | 4151451
REMUS PHARMACEUTICALS L | 715.0 | 760.0 | 710.0 | 736.4 | 4200
SANOFI INDIA LIMITED | 4070.0 | 4117.0 | 4058.0 | 4069.0 | 15178
EIH ASSOCIATED HOTELS LTD | 357.0 | 359.8 | 352.05 | 356.25 | 8138
FLYSBS AVIATION LIMITED | 520.0 | 530.0 | 515.0 | 529.2 | 17000
CHAMAN METALLICS LIMITED | 113.65 | 113.85 | 113.65 | 113.75 | 2250
PATEL ENGINEERING LTD. | 31.29 | 31.31 | 30.39 | 31.08 | 7162419
ASTRAL LIMITED | 1405.0 | 1427.0 | 1403.8 | 1423.6 | 1026091
NETWORK PEOPLE SRV TECH L | 1407.7 | 1416.0 | 1389.0 | 1407.6 | 9726
VIGOR PLAST INDIA LIMITED | 80.0 | 80.95 | 80.0 | 80.95 | 6400
GLOBE CIVIL PROJECTS LTD | 59.78 | 59.78 | 58.3 | 58.79 | 67347
GLOBALE TESSILE LIMITED | 12.81 | 13.2 | 11.51 | 12.23 | 20413
AWFIS SPACE SOLUTIONS LTD | 508.1 | 521.85 | 505.95 | 518.15 | 71311
BALAJI TELEFILMS LIMITED. | 102.44 | 104.75 | 101.5 | 102.93 | 75872
TEERTH GOPICON LIMITED | 63.9 | 68.45 | 63.9 | 68.45 | 306000
BRIGADE HOTEL VENTURE LTD | 71.3 | 72.15 | 70.92 | 71.79 | 36904
TATA TECHNOLOGIES LIMITED | 645.0 | 655.5 | 643.4 | 654.2 | 640716
MIC ELECTRONICS LTD | 43.24 | 44.1 | 43.16 | 43.93 | 435036
KARUR VYSYA BANK LTD | 248.0 | 253.5 | 246.89 | 252.39 | 1505834
MACOBS TECHNOLOGIES LTD | 210.0 | 210.0 | 210.0 | 210.0 | 3200
VINTAGE COFFEE N BVRGS L | 157.48 | 159.32 | 156.56 | 157.14 | 1037493
RADHIKA JEWELTECH LIMITED | 71.61 | 72.4 | 71.0 | 72.13 | 142722
BANKA BIOLOO LIMITED | 67.25 | 68.78 | 67.0 | 67.09 | 2026
AMARA RAJA ENERGY MOB LTD | 925.0 | 932.0 | 919.0 | 925.55 | 208841
ASIAN HOTELS (EAST) LTD | 132.75 | 137.45 | 132.01 | 135.88 | 2850
BLUE DART EXPRESS LTD | 5292.0 | 5450.0 | 5284.0 | 5408.5 | 17548
SURATWWALA BUS GROUP LTD | 40.0 | 40.9 | 37.5 | 38.14 | 108279
AGRI-TECH (INDIA) LIMITED | 167.73 | 172.6 | 164.25 | 165.35 | 47655
COROMANDEL INTERNTL. LTD | 2249.2 | 2499.0 | 2231.5 | 2358.5 | 901115
GEECEE VENTURES LIMITED | 339.3 | 340.05 | 334.1 | 336.15 | 3048
RANE HOLDINGS LIMITED | 1275.1 | 1308.0 | 1275.1 | 1282.7 | 11430
PASHUPATI COTSPIN LIMITED | 825.0 | 825.0 | 795.0 | 813.15 | 3555
FINOLEX CABLES LTD | 769.8 | 794.5 | 769.8 | 787.25 | 392875
JYOTHY LABS LIMITED | 284.0 | 285.15 | 279.0 | 281.0 | 310830
SUYOG TELEMATICS LIMITED | 631.4 | 643.2 | 628.0 | 631.3 | 6356
DIC INDIA LIMITED | 490.6 | 493.05 | 475.05 | 484.35 | 1932
TRENT LTD | 4034.0 | 4072.0 | 4025.0 | 4062.2 | 501005
PASUPATI ACRYLON LIMITED | 52.0 | 53.1 | 52.0 | 52.54 | 40194
TECH MAHINDRA LIMITED | 1611.0 | 1624.0 | 1595.0 | 1612.5 | 1802793
GILLETTE INDIA LTD | 8025.0 | 8025.0 | 7931.5 | 7983.5 | 18471
BRITANNIA INDUSTRIES LTD | 6020.0 | 6116.0 | 5992.5 | 6103.0 | 179450
VINNY OVERSEAS LIMITED | 1.22 | 1.25 | 1.22 | 1.23 | 362625
AETHER INDUSTRIES LIMITED | 838.0 | 842.4 | 832.0 | 838.05 | 66441
CMS INFO SYSTEMS LIMITED | 349.0 | 353.95 | 347.5 | 352.75 | 267597
TVS SRICHAKRA LIMITED | 4104.6 | 4243.7 | 4086.0 | 4220.1 | 3370
MAHANAGAR GAS LTD. | 1125.9 | 1158.0 | 1116.8 | 1151.0 | 180783
MAHINDRA EPC IRRIG LTD | 121.31 | 125.0 | 121.31 | 123.98 | 11423
GOA CARBON LIMITED | 396.75 | 404.4 | 393.5 | 394.8 | 9407
SMARTLINK HOLDINGS LTD | 128.11 | 132.0 | 127.99 | 131.38 | 21099
CONTAINER CORP OF IND LTD | 500.4 | 502.4 | 496.1 | 501.35 | 656526
DEEPAK BUILDERS & ENG I L | 116.34 | 118.08 | 115.91 | 116.98 | 29877
VIDHI SPCLTY F INGRDNTS L | 333.1 | 344.9 | 330.3 | 340.15 | 8588
ENTERTAIN NET. IND. LTD. | 118.95 | 118.95 | 110.85 | 112.41 | 34756
SALZER ELECTRONICS LTD | 684.75 | 690.8 | 681.05 | 687.25 | 18527
MALU PAPER MILLS LIMITED | 35.06 | 35.36 | 34.0 | 34.47 | 17673
VIAZ TYRES LIMITED | 69.9 | 69.9 | 69.45 | 69.65 | 4000
THYROCARE TECH LTD | 428.5 | 439.8 | 428.5 | 436.7 | 235792
UMA EXPORTS LIMITED | 38.1 | 42.49 | 38.08 | 39.61 | 300701
DEE DEVELOPMENT ENG LTD | 216.9 | 219.15 | 213.44 | 214.98 | 108882
MONTE CARLO FASHIONS LTD. | 702.0 | 710.0 | 699.8 | 707.1 | 15459
VRAJ IRON AND STEEL LTD | 122.3 | 124.98 | 121.96 | 122.95 | 14128
SILGO RETAIL LIMITED | 73.18 | 75.35 | 72.59 | 75.13 | 286469
KANSAI NEROLAC PAINTS LTD | 221.99 | 225.1 | 220.5 | 222.98 | 385627
CASH UR DRIVE MARKETING L | 141.9 | 141.9 | 139.75 | 140.0 | 28000
SAMEERA AGRO AND INFRA L | 15.95 | 16.05 | 14.55 | 14.9 | 320000
DE NEERS TOOLS LIMITED | 156.95 | 156.95 | 155.5 | 155.7 | 3600
A B N INTERCORP LIMITED | NA | NA | NA | NA | NA
GRAPHISADS LIMITED | 47.05 | 48.0 | 45.65 | 47.8 | 72000
AMBEY LABORATORIES LTD | 38.6 | 38.6 | 38.45 | 38.45 | 8000
SANGHI INDUSTRIES LTD | 61.92 | 62.85 | 61.48 | 62.31 | 219625
STATE BANK OF INDIA | 979.95 | 982.0 | 977.05 | 980.3 | 5376584
ADVANCE AGROLIFE LIMITED | 118.45 | 118.45 | 116.1 | 116.72 | 78490
NAGREEKA CAP & INFR.LTD | 26.5 | 28.0 | 26.5 | 27.98 | 1667
KAMAT HOTELS (I) LTD | 230.44 | 237.0 | 229.25 | 234.93 | 31103
RAMDEVBABA SOLVENT LTD | 100.0 | 103.0 | 97.1 | 97.6 | 26400
C P S SHAPERS LIMITED | 1041.5 | 1041.5 | 1041.5 | 1041.5 | 300
EXPLEO SOLUTIONS LIMITED | 1038.6 | 1060.0 | 1024.4 | 1029.4 | 14781
TARAPUR TRANSFORMERS LTD | 29.7 | 30.0 | 28.7 | 29.19 | 12052
CAPRI GLOBAL CAPITAL LTD | 179.13 | 181.95 | 176.32 | 180.32 | 650301
PANACEA BIOTEC LTD | 347.35 | 360.9 | 346.6 | 356.1 | 34466
AAKAAR MEDICAL TECHNO LTD | 72.45 | 72.95 | 71.05 | 71.7 | 19200
MAHINDRA LIFESPACE DEVLTD | 400.4 | 400.9 | 395.5 | 399.45 | 56776
NAHAR SPINNING MILLS LTD. | 194.69 | 196.92 | 193.1 | 195.08 | 10485
OMKAR SPL CHEM LTD | 5.88 | 5.88 | 5.6 | 5.85 | 1141
ATLAS CYCLE (HARYANA) LTD | 91.77 | 92.99 | 90.2 | 91.07 | 2532
KDDL LIMITED | 2315.7 | 2355.5 | 2277.1 | 2297.5 | 6120
IMAGICAAWORLD ENT LTD | 48.55 | 48.9 | 48.27 | 48.67 | 164801
FIVE-STAR BUS FIN LTD | 587.9 | 590.0 | 568.35 | 569.9 | 813666
ORBIT EXPORTS LIMITED | 189.1 | 200.0 | 188.63 | 189.43 | 14844
VADIVARHE SPCLTY CHEM LTD | 17.1 | 17.1 | 17.1 | 17.1 | 3000
INSPIRISYS SOLUTIONS LTD | 94.95 | 94.95 | 87.3 | 89.9 | 3811
TALBROS AUTO. COMP. LTD | 276.5 | 280.5 | 275.6 | 278.15 | 27909
AXISCADES TECH LTD | 1250.0 | 1314.0 | 1225.8 | 1308.8 | 59564
AATMAJ HEALTHCARE LIMITED | 23.1 | 23.1 | 23.1 | 23.1 | 2000
GACM TECHNOLOGIES LIMITED | 0.49 | 0.5 | 0.48 | 0.49 | 715187
GACM TECHNOLOGIES LIMITED | 0.52 | 0.54 | 0.52 | 0.53 | 4902696
TEAMLEASE SERVICES LTD. | 1595.0 | 1614.0 | 1585.1 | 1603.9 | 22426
SURYODAY SMALL FIN BK LTD | 134.15 | 134.81 | 133.62 | 134.15 | 47460
NEXT MEDIAWORKS LIMITED | 5.65 | 6.24 | 5.65 | 5.98 | 7444
DIGISPICE TECHNOLOGIES LT | 24.24 | 25.39 | 24.24 | 25.32 | 99889
INDOWIND ENERGY LTD | NA | NA | NA | NA | NA
TATA INVESTMENT CORP LTD | 705.9 | 712.5 | 702.15 | 708.6 | 286037
EMS LIMITED | 451.0 | 451.0 | 441.6 | 447.6 | 124767
AAVAS FINANCIERS LIMITED | 1458.9 | 1467.4 | 1435.0 | 1458.2 | 237823
RACE ECO CHAIN LIMITED | 150.99 | 150.99 | 138.15 | 141.5 | 4890
RESTAURANT BRAND ASIA LTD | 62.83 | 66.9 | 62.6 | 66.47 | 10764447
JK PAPER LIMITED | 349.95 | 361.7 | 348.4 | 359.35 | 164591
VERA SYNTHETIC LIMITED | 69.9 | 69.9 | 69.9 | 69.9 | 1500
INDO FARM EQUIPMENT LTD | 183.0 | 190.0 | 182.88 | 185.69 | 65125
KALPATARU PROJECT INT LTD | 1122.0 | 1162.1 | 1121.2 | 1151.2 | 155235
TATA STEEL LIMITED | 169.15 | 169.62 | 167.83 | 168.69 | 28448892
