Company | Open | High | Low | Close | Volume
TATA MOTORS LIMITED | 402.05 | 403.3 | 385.25 | 394.35 | 22075008
RENAISSANCE GLOBAL LTD | 126.5 | 129.4 | 126.08 | 128.58 | 301799
PANACHE DIGILIFE LIMITED | 345.6 | 345.6 | 335.0 | 336.8 | 1175
AKG EXIM LIMITED | 12.54 | 12.75 | 12.05 | 12.31 | 37201
KIRLOSKAR OIL ENG LTD | 1280.0 | 1294.2 | 1240.0 | 1244.8 | 606280
XTGLOBAL INFOTECH LIMITED | 36.89 | 37.0 | 34.86 | 35.62 | 88769
PULZ ELECTRONICS LIMITED | 33.75 | 33.75 | 33.75 | 33.75 | 2000
EMMBI INDUSTRIES LIMITED | 99.14 | 99.5 | 97.6 | 98.65 | 7965
TEXMO PIPE & PRODUCTS LTD | 47.51 | 49.4 | 47.51 | 47.99 | 25011
VERITAAS ADVERTISING LTD | 56.4 | 59.2 | 56.4 | 59.1 | 21600
A AND M JUMBO BAGS LTD | 8.7 | 8.7 | 7.9 | 8.4 | 24000
DR AGARWALS HEALTH CARE L | 496.0 | 503.5 | 495.05 | 501.05 | 66398
HINDUSTAN ZINC LIMITED | 591.0 | 592.0 | 578.05 | 588.75 | 9490652
360 ONE WAM LIMITED | 1142.0 | 1150.1 | 1124.3 | 1138.9 | 1662158
TECHNOCRAFT IND LTD | 2256.9 | 2356.2 | 2216.0 | 2253.7 | 13829
TANKUP ENGINEERS LIMITED | 707.6 | 707.6 | 707.6 | 707.6 | 2000
RELIANCE CHEMOTEX IND LTD | 134.89 | 137.3 | 134.0 | 135.35 | 1494
AGI INFRA LIMITED | 262.7 | 266.15 | 260.0 | 264.15 | 217769
VISION INFRA EQUIP SOL L | 242.0 | 250.1 | 240.0 | 250.1 | 21600
SARVESHWAR FOODS LIMITED | 4.41 | 4.52 | 4.41 | 4.48 | 2882195
SHREE CEMENT LIMITED | 25490.0 | 25715.0 | 25360.0 | 25600.0 | 47019
GP ECO SOLUTIONS INDIA L | 433.05 | 445.0 | 427.95 | 436.2 | 15800
ANANT RAJ LIMITED | 533.0 | 556.1 | 530.15 | 551.6 | 3779244
LIBAS CONSU PRODUCTS LTD | 10.5 | 11.15 | 10.3 | 10.72 | 48260
JAYANT AGRO ORGANICS LTD | 203.27 | 213.0 | 201.75 | 202.62 | 8430
LLOYDS ENGG WORK LIMITED | 54.0 | 56.4 | 53.61 | 56.14 | 4948162
WONDERLA HOLIDAYS LTD. | 534.25 | 538.0 | 528.3 | 536.5 | 24691
ASTEC LIFESCIENCES LTD | 711.35 | 723.2 | 702.3 | 718.65 | 125709
ARFIN INDIA LIMITED | 65.0 | 65.0 | 64.01 | 64.17 | 33231
MAKS ENERGY SOL INDIA LTD | 29.65 | 29.65 | 29.65 | 29.65 | 3000
SANGANI HOSPITALS LIMITED | 57.25 | 59.2 | 57.2 | 59.2 | 6000
DJ MEDIAPRINT & LOG LTD | 68.8 | 72.4 | 68.5 | 72.21 | 311694
JET FREIGHT LOGISTICS LTD | 17.95 | 18.35 | 16.75 | 18.13 | 72639
ADITYA BIRLA MONEY LTD | 145.4 | 147.39 | 145.0 | 145.85 | 19549
EMERALD TYRE MANUF LTD | 104.0 | 104.0 | 104.0 | 104.0 | 1200
AADHAR HOUSING FINANCE L | 477.0 | 488.65 | 477.0 | 488.0 | 251019
ASIAN ENERGY SERVICES LTD | 280.4 | 296.8 | 280.4 | 292.25 | 49575
KRITI NUTRIENTS LIMITED | 66.44 | 67.66 | 65.49 | 66.15 | 21642
JFL LIFE SCIENCES LIMITED | 13.35 | 13.35 | 13.35 | 13.35 | 12000
JINDAL STEEL LIMITED | 986.6 | 1002.5 | 981.6 | 992.6 | 1137039
BHARAT DYNAMICS LIMITED | 1349.0 | 1376.7 | 1342.3 | 1373.1 | 859088
ZEAL GLOBAL SERVICES LTD | 93.55 | 96.0 | 92.0 | 93.85 | 8400
BABA FOOD PROCESSING | 31.3 | 31.75 | 31.3 | 31.75 | 6400
SAFE ENTER RETAIL FIX LTD | 273.0 | 275.0 | 268.05 | 272.35 | 9000
COFORGE LIMITED | 1871.2 | 1877.7 | 1837.0 | 1845.4 | 2031217
